[2024-12-11T18:45:01.730Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T18:45:42.119Z] - João Vitor | DESMARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T18:46:36.515Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T18:49:31.180Z] - João Vitor | MARCOU | DEI - 11/2024 | A. C. DE JESUS NETO
[2024-12-11T18:51:51.578Z] - João Vitor | MARCOU | DEI - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-11T18:52:03.970Z] - João Vitor | DESMARCOU | DEI - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-11T18:52:21.102Z] - João Vitor | MARCOU | DEI - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-11T18:53:22.558Z] - João Vitor | MARCOU | DEI - 11/2024 | AGIL AUTOVIDROS E ACESSORIOS EIRELI - EPP - AGILENE
[2024-12-11T18:54:28.227Z] - João Vitor | MARCOU | DEI - 11/2024 | AGROPECUARIA LOPES E VIEIRA EIRELI 
[2024-12-11T18:54:47.837Z] - João Vitor | DESMARCOU | DEI - 11/2024 | AGROPECUARIA LOPES E VIEIRA EIRELI 
[2024-12-11T18:55:10.830Z] - João Vitor | DESMARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T18:56:34.057Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:17:45.829Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:18:19.106Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:18:47.082Z] - João Vitor | DESMARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:19:16.391Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:19:28.811Z] - João Vitor | DESMARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:19:42.378Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:20:04.607Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:20:36.544Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:21:08.931Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:24:27.058Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:24:50.782Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:28:03.302Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:30:30.856Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:33:38.651Z] - João Vitor | MARCOU | DEI - 11/2024 | AGROPECUARIA LOPES E VIEIRA EIRELI 
[2024-12-11T19:35:31.360Z] - João Vitor | MARCOU | DEI - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-11T19:35:50.615Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:36:05.675Z] - João Vitor | DESMARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:36:21.678Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:36:37.195Z] - João Vitor | DESMARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-11T19:37:10.999Z] - João Vitor | MARCOU | DEI - 11/2024 | A DA S ARAUJO LTDA
[2024-12-12T13:57:53.036Z] - João Vitor | MARCOU | DEI - 11/2024 | ARTCAR LTDA
[2024-12-13T19:33:17.687Z] - João Vitor | MARCOU | DAE - 12/2024 | AGIL AUTO CENTER LTDA
[2024-12-13T19:33:23.124Z] - João Vitor | MARCOU | DAE - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-13T19:34:10.134Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-16T19:03:08.219Z] - João Vitor | MARCOU | DIEF - 11/2024 | L. E. G. B EXTRACAO E COMERCIO DE MADEIRA LTDA
[2024-12-16T19:04:58.406Z] - João Vitor | DESMARCOU | DIEF - 11/2024 | L. E. G. B EXTRACAO E COMERCIO DE MADEIRA LTDA
[2024-12-17T15:44:44.803Z] - João Vitor | MARCOU | ICMS NORMAL - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T15:55:26.587Z] - João Vitor | MARCOU | DIEF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T15:56:01.635Z] - João Vitor | MARCOU | DAE - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T15:56:05.987Z] - João Vitor | MARCOU | DAE - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T15:56:07.541Z] - João Vitor | MARCOU | DAE - 11/2024 | AYME FASHION LTDA
[2024-12-17T15:56:10.910Z] - João Vitor | MARCOU | DAE - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T15:56:11.963Z] - João Vitor | MARCOU | DAE - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T15:56:15.105Z] - João Vitor | MARCOU | DAE - 11/2024 | AYME FASHION LTDA
[2024-12-17T15:56:17.716Z] - João Vitor | MARCOU | DAE - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T15:56:19.373Z] - João Vitor | MARCOU | DAE - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T15:56:20.896Z] - João Vitor | MARCOU | DAE - 11/2024 | BRITO & GONCALVES COMERCIO E SERVIÇOS LTDA
[2024-12-17T15:56:22.320Z] - João Vitor | MARCOU | DAE - 11/2024 | BS COMERCIO DE PECAS E ACESSORIOS PARA VEICULOS LTDA - BETO
[2024-12-17T15:58:32.641Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGROPECUARIA LOPES E VIEIRA EIRELI 
[2024-12-17T15:59:40.118Z] - João Vitor | MARCOU | SPED FISCAL - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T16:04:27.461Z] - João Vitor | MARCOU | DIEF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T16:05:39.203Z] - João Vitor | MARCOU | DAE - 11/2024 | A. C. DE JESUS NETO
[2024-12-17T16:05:48.930Z] - João Vitor | MARCOU | DAE - 11/2024 | A. C. DE JESUS NETO
[2024-12-17T16:06:24.132Z] - João Vitor | MARCOU | DAE - 11/2024 | AGIL AUTOVIDROS E ACESSORIOS EIRELI - EPP - AGILENE
[2024-12-17T16:06:42.605Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ARTCAR LTDA
[2024-12-17T16:09:12.921Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGIL AUTOVIDROS E ACESSORIOS EIRELI - EPP - AGILENE
[2024-12-17T16:09:29.660Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T16:09:33.904Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T16:09:36.828Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T16:09:39.179Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T16:10:17.199Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T17:03:10.333Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T17:03:15.202Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T17:03:16.590Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AYME FASHION LTDA
[2024-12-17T17:03:18.350Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T17:03:24.625Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T17:03:49.442Z] - João Vitor | MARCOU | DEI - 11/2024 | C DE SOUZA COSTA LTDA
[2024-12-17T17:04:43.863Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | C G NOGUEIRA LIMA
